,tested_combination,combination_played_order,score_prediction_0,score_prediction_1,score_prediction_2
407,3 RED - 11 RED,3 RED - 11 RED,-14.0,14.0,10.0
408,3 RED - 12 BLUE,12 BLUE - 3 RED,-16.0,-10.0,16.0
409,3 RED - 12 BLUE,3 RED - 12 BLUE,-10.0,-2.0,18.0
410,3 RED - 12 RED,12 RED - 3 RED,-16.0,6.0,20.0
411,3 RED - 12 RED,3 RED - 12 RED,-14.0,6.0,8.0
412,3 RED - 13 BLUE,13 BLUE - 3 RED,-6.0,14.0,-2.0
413,3 RED - 13 BLUE,3 RED - 13 BLUE,0.0,-10.0,-8.0
414,3 RED - 2 BLUE,2 BLUE - 3 RED,-14.0,-2.0,6.0
415,3 RED - 2 BLUE,3 RED - 2 BLUE,-10.0,-2.0,8.0
416,3 RED - 2 RED,2 RED - 3 RED,-10.0,-2.0,18.0
417,3 RED - 2 RED,3 RED - 2 RED,-10.0,-2.0,18.0
418,3 RED - 3 BLUE,3 BLUE - 3 RED,-4.0,14.0,-14.0
419,3 RED - 3 BLUE,3 RED - 3 BLUE,6.0,-10.0,-18.0
420,3 RED - 4 BLUE,3 RED - 4 BLUE,-18.0,-10.0,-2.0
421,3 RED - 4 BLUE,4 BLUE - 3 RED,-8.0,6.0,-2.0
422,3 RED - 4 RED,3 RED - 4 RED,-20.0,-10.0,40.0
423,3 RED - 4 RED,4 RED - 3 RED,-20.0,-10.0,40.0
424,3 RED - 5 BLUE,3 RED - 5 BLUE,-18.0,-10.0,18.0
425,3 RED - 5 BLUE,5 BLUE - 3 RED,-16.0,6.0,20.0
426,3 RED - 5 RED,3 RED - 5 RED,-18.0,-2.0,30.0
427,3 RED - 5 RED,5 RED - 3 RED,-18.0,-2.0,30.0
428,3 RED - 6 BLUE,3 RED - 6 BLUE,-14.0,-10.0,-6.0
429,3 RED - 6 BLUE,6 BLUE - 3 RED,-12.0,14.0,-2.0
430,3 RED - 6 RED,3 RED - 6 RED,-16.0,-2.0,18.0
431,3 RED - 6 RED,6 RED - 3 RED,-16.0,-2.0,18.0
432,3 RED - 7 BLUE,3 RED - 7 BLUE,-8.0,-10.0,-6.0
433,3 RED - 7 BLUE,7 BLUE - 3 RED,-6.0,6.0,-4.0
434,3 RED - 7 RED,3 RED - 7 RED,-18.0,-2.0,30.0
435,3 RED - 7 RED,7 RED - 3 RED,-18.0,-2.0,30.0
436,3 RED - 8 BLUE,3 RED - 8 BLUE,-10.0,-10.0,16.0
437,3 RED - 8 BLUE,8 BLUE - 3 RED,-10.0,-2.0,18.0
438,3 RED - 8 RED,3 RED - 8 RED,-18.0,-2.0,30.0
439,3 RED - 8 RED,8 RED - 3 RED,-18.0,-2.0,30.0
440,3 RED - 9 BLUE,3 RED - 9 BLUE,-18.0,-10.0,-12.0
441,3 RED - 9 BLUE,9 BLUE - 3 RED,-14.0,14.0,-10.0
442,3 RED - Jester,3 RED - Jester,-4.0,22.0,-12.0
443,3 RED - Jester,Jester - 3 RED,-10.0,22.0,-12.0
444,4 BLUE - 1 BLUE,1 BLUE - 4 BLUE,0.0,-10.0,-8.0
445,4 BLUE - 1 BLUE,4 BLUE - 1 BLUE,-8.0,-10.0,4.0
446,4 BLUE - 1 GREEN,1 GREEN - 4 BLUE,8.0,-2.0,-18.0
447,4 BLUE - 1 GREEN,4 BLUE - 1 GREEN,0.0,-2.0,-16.0
448,4 BLUE - 11 BLUE,11 BLUE - 4 BLUE,-10.0,-2.0,8.0
449,4 BLUE - 11 BLUE,4 BLUE - 11 BLUE,4.0,-10.0,-6.0
450,4 BLUE - 12 BLUE,12 BLUE - 4 BLUE,-16.0,-10.0,16.0
451,4 BLUE - 12 BLUE,4 BLUE - 12 BLUE,-8.0,-10.0,4.0
452,4 BLUE - 13 BLUE,13 BLUE - 4 BLUE,-10.0,6.0,-16.0
453,4 BLUE - 13 BLUE,4 BLUE - 13 BLUE,-4.0,6.0,-16.0
454,4 BLUE - 2 BLUE,2 BLUE - 4 BLUE,12.0,-10.0,-8.0
455,4 BLUE - 2 BLUE,4 BLUE - 2 BLUE,12.0,-10.0,-8.0
456,4 BLUE - 2 GREEN,2 GREEN - 4 BLUE,8.0,-10.0,-20.0
457,4 BLUE - 2 GREEN,4 BLUE - 2 GREEN,6.0,-10.0,-20.0
458,4 BLUE - 3 GREEN,3 GREEN - 4 BLUE,-2.0,-2.0,-14.0
459,4 BLUE - 3 GREEN,4 BLUE - 3 GREEN,14.0,-2.0,-18.0
460,4 BLUE - 4 GREEN,4 BLUE - 4 GREEN,14.0,-10.0,-20.0
461,4 BLUE - 4 GREEN,4 GREEN - 4 BLUE,14.0,-10.0,-20.0
462,4 BLUE - 5 BLUE,4 BLUE - 5 BLUE,-6.0,6.0,-4.0
463,4 BLUE - 5 BLUE,5 BLUE - 4 BLUE,-6.0,6.0,-4.0
464,4 BLUE - 8 BLUE,4 BLUE - 8 BLUE,-4.0,-10.0,-20.0
465,4 BLUE - 8 BLUE,8 BLUE - 4 BLUE,-4.0,-10.0,-20.0
466,4 BLUE - 9 BLUE,4 BLUE - 9 BLUE,-2.0,-10.0,4.0
467,4 BLUE - 9 BLUE,9 BLUE - 4 BLUE,-10.0,-10.0,16.0
468,4 RED - 1 BLUE,1 BLUE - 4 RED,2.0,14.0,-14.0
469,4 RED - 1 BLUE,4 RED - 1 BLUE,-4.0,-10.0,-14.0
470,4 RED - 1 RED,1 RED - 4 RED,-8.0,6.0,8.0
471,4 RED - 1 RED,4 RED - 1 RED,-8.0,6.0,8.0
472,4 RED - 10 BLUE,10 BLUE - 4 RED,-12.0,22.0,0.0
473,4 RED - 10 BLUE,4 RED - 10 BLUE,-8.0,-10.0,-6.0
474,4 RED - 10 RED,10 RED - 4 RED,-14.0,14.0,10.0
475,4 RED - 10 RED,4 RED - 10 RED,-14.0,6.0,8.0
476,4 RED - 11 BLUE,11 BLUE - 4 RED,-10.0,-2.0,8.0
477,4 RED - 11 BLUE,4 RED - 11 BLUE,-16.0,-10.0,16.0
478,4 RED - 11 RED,11 RED - 4 RED,-14.0,6.0,8.0
479,4 RED - 11 RED,4 RED - 11 RED,-14.0,6.0,8.0
480,4 RED - 12 BLUE,12 BLUE - 4 RED,-14.0,6.0,8.0
481,4 RED - 12 BLUE,4 RED - 12 BLUE,-16.0,-2.0,8.0
482,4 RED - 12 RED,12 RED - 4 RED,-18.0,-2.0,30.0
483,4 RED - 12 RED,4 RED - 12 RED,-16.0,6.0,20.0
484,4 RED - 13 BLUE,13 BLUE - 4 RED,-16.0,6.0,20.0
485,4 RED - 13 BLUE,4 RED - 13 BLUE,-10.0,-10.0,16.0
486,4 RED - 2 BLUE,2 BLUE - 4 RED,-6.0,14.0,-2.0
487,4 RED - 2 BLUE,4 RED - 2 BLUE,4.0,-10.0,-6.0
488,4 RED - 3 BLUE,3 BLUE - 4 RED,-12.0,22.0,0.0
489,4 RED - 3 BLUE,4 RED - 3 BLUE,-20.0,-10.0,0.0
490,4 RED - 4 BLUE,4 BLUE - 4 RED,-12.0,14.0,-12.0
491,4 RED - 4 BLUE,4 RED - 4 BLUE,-12.0,-10.0,-2.0
492,4 RED - 5 BLUE,4 RED - 5 BLUE,-4.0,-10.0,-4.0
493,4 RED - 5 BLUE,5 BLUE - 4 RED,-6.0,6.0,-4.0
494,4 RED - 5 RED,4 RED - 5 RED,-10.0,-2.0,18.0
495,4 RED - 5 RED,5 RED - 4 RED,-10.0,-2.0,18.0
496,4 RED - 6 BLUE,4 RED - 6 BLUE,-4.0,-10.0,-4.0
497,4 RED - 6 BLUE,6 BLUE - 4 RED,-14.0,6.0,-2.0
498,4 RED - 7 BLUE,4 RED - 7 BLUE,-10.0,-10.0,6.0
499,4 RED - 7 BLUE,7 BLUE - 4 RED,-8.0,-2.0,6.0
500,4 RED - 7 RED,4 RED - 7 RED,-16.0,-2.0,18.0
501,4 RED - 7 RED,7 RED - 4 RED,-16.0,-2.0,18.0
502,4 RED - 8 BLUE,4 RED - 8 BLUE,20.0,-10.0,-20.0
503,4 RED - 8 BLUE,8 BLUE - 4 RED,-4.0,6.0,-16.0
504,4 RED - 9 BLUE,4 RED - 9 BLUE,-8.0,-2.0,6.0
505,4 RED - 9 BLUE,9 BLUE - 4 RED,-8.0,-2.0,6.0
506,4 RED - Jester,4 RED - Jester,-4.0,6.0,-16.0
