,tested_combination,combination_played_order,score_prediction_0,score_prediction_1,score_prediction_2
316,13 BLUE - 4 GREEN,13 BLUE - 4 GREEN,-4.0,14.0,-14.0
312,13 BLUE - 3 GREEN,13 BLUE - 3 GREEN,-14.0,-2.0,-4.0
313,13 BLUE - 3 GREEN,3 GREEN - 13 BLUE,6.0,-2.0,-6.0
310,13 BLUE - 2 GREEN,13 BLUE - 2 GREEN,-8.0,-10.0,-16.0
311,13 BLUE - 2 GREEN,2 GREEN - 13 BLUE,20.0,-10.0,-20.0
293,13 BLUE - 1 GREEN,13 BLUE - 1 GREEN,2.0,-2.0,-18.0
292,13 BLUE - 1 GREEN,1 GREEN - 13 BLUE,14.0,-10.0,-20.0
246,12 BLUE - 9 BLUE,12 BLUE - 9 BLUE,-16.0,-2.0,18.0
247,12 BLUE - 9 BLUE,9 BLUE - 12 BLUE,-8.0,-2.0,6.0
230,12 BLUE - 12 GREEN,12 BLUE - 12 GREEN,-4.0,14.0,-14.0
231,12 BLUE - 12 GREEN,12 GREEN - 12 BLUE,-14.0,6.0,-12.0
229,12 BLUE - 11 GREEN,12 BLUE - 11 GREEN,-16.0,-2.0,8.0
228,12 BLUE - 11 GREEN,11 GREEN - 12 BLUE,-8.0,-2.0,6.0
227,12 BLUE - 10 GREEN,12 BLUE - 10 GREEN,-12.0,-2.0,-6.0
226,12 BLUE - 10 GREEN,10 GREEN - 12 BLUE,0.0,-10.0,-8.0
248,12 BLUE - 9 GREEN,12 BLUE - 9 GREEN,-2.0,-10.0,-6.0
