tested_combination,combination_played_order,score_prediction_0,score_prediction_1,score_prediction_2
1 RED - 10 BLUE,1 RED - 10 BLUE,-12.83,-3.84,-8.79
1 RED - 9 BLUE,1 RED - 9 BLUE,-12.59,-3.4,-8.74
1 RED - 8 BLUE,1 RED - 8 BLUE,-12.39,-1.24,-10.79
1 RED - 7 BLUE,1 RED - 7 BLUE,-11.47,-1.32,-10.72
1 RED - 6 BLUE,1 RED - 6 BLUE,-11.72,-1.16,-11.63
1 RED - 5 BLUE,1 RED - 5 BLUE,-11.26,0.48,-12.79
1 RED - 4 BLUE,1 RED - 4 BLUE,-10.07,1.08,-13.94
1 RED - 3 BLUE,1 RED - 3 BLUE,-9.95,1.32,-13.89
1 RED - 2 BLUE,1 RED - 2 BLUE,-10.37,3.56,-13.81
1 RED - 1 BLUE,1 RED - 1 BLUE,-9.42,3.2,-14.34
1 RED - Jester,1 RED - Jester,-8.59,13.16,-14.21
13 BLUE - 12 BLUE,13 BLUE - 12 BLUE,1.79,-8.24,-15.5
13 BLUE - 11 BLUE,13 BLUE - 11 BLUE,1.02,-7.88,-15.6
13 BLUE - 10 BLUE,13 BLUE - 10 BLUE,1.43,-8.4,-16.38
13 BLUE - 9 BLUE,13 BLUE - 9 BLUE,2.73,-8.68,-17.48
13 BLUE - 8 BLUE,13 BLUE - 8 BLUE,1.72,-8.96,-17.91
13 BLUE - 7 BLUE,13 BLUE - 7 BLUE,2.55,-9.16,-18.39
13 BLUE - 6 BLUE,13 BLUE - 6 BLUE,1.94,-9.16,-18.68
13 BLUE - 5 BLUE,13 BLUE - 5 BLUE,1.4,-9.28,-19.17
13 BLUE - 4 BLUE,13 BLUE - 4 BLUE,2.39,-8.6,-19.09
13 BLUE - 3 BLUE,13 BLUE - 3 BLUE,1.84,-9.08,-19.52
13 BLUE - 2 BLUE,13 BLUE - 2 BLUE,2.57,-8.8,-19.57
13 BLUE - 1 BLUE,13 BLUE - 1 BLUE,3.02,-8.76,-19.69
13 BLUE - 13 GREEN,13 BLUE - 13 GREEN,-9.06,-7.12,-6.33
13 BLUE - 12 GREEN,13 BLUE - 12 GREEN,-8.67,-6.92,-7.25
13 BLUE - 11 GREEN,13 BLUE - 11 GREEN,-6.99,-6.96,-9.82
13 BLUE - 10 GREEN,13 BLUE - 10 GREEN,-5.26,-7.04,-12.05
13 BLUE - 9 GREEN,13 BLUE - 9 GREEN,-5.31,-5.96,-11.15
13 BLUE - 8 GREEN,13 BLUE - 8 GREEN,-4.32,-6.48,-12.28
13 BLUE - 7 GREEN,13 BLUE - 7 GREEN,-4.07,-5.6,-13.29
13 BLUE - 6 GREEN,13 BLUE - 6 GREEN,-2.03,-6.52,-14.67
13 BLUE - 5 GREEN,13 BLUE - 5 GREEN,-1.11,-5.16,-15.13
13 BLUE - 4 GREEN,13 BLUE - 4 GREEN,0.22,-6.28,-16.2
13 BLUE - 3 GREEN,13 BLUE - 3 GREEN,1.18,-5.76,-17.01
13 BLUE - 2 GREEN,13 BLUE - 2 GREEN,1.92,-5.44,-16.93
13 BLUE - 1 GREEN,13 BLUE - 1 GREEN,2.83,-4.84,-16.79
13 BLUE - Jester,13 BLUE - Jester,4.31,-8.24,-19.56
12 BLUE - 11 BLUE,12 BLUE - 11 BLUE,2.23,-8.6,-15.8
12 BLUE - 10 BLUE,12 BLUE - 10 BLUE,3.3,-8.04,-16.98
12 BLUE - 9 BLUE,12 BLUE - 9 BLUE,2.86,-8.56,-17.47
12 BLUE - 8 BLUE,12 BLUE - 8 BLUE,2.23,-8.56,-17.8
12 BLUE - 7 BLUE,12 BLUE - 7 BLUE,3.61,-8.88,-18.38
12 BLUE - 6 BLUE,12 BLUE - 6 BLUE,4.4,-8.96,-18.77
12 BLUE - 5 BLUE,12 BLUE - 5 BLUE,3.49,-8.84,-18.89
12 BLUE - 4 BLUE,12 BLUE - 4 BLUE,3.58,-9.12,-19.08
12 BLUE - 3 BLUE,12 BLUE - 3 BLUE,3.81,-8.76,-19.31
12 BLUE - 2 BLUE,12 BLUE - 2 BLUE,4.74,-9.12,-19.67
12 BLUE - 1 BLUE,12 BLUE - 1 BLUE,4.46,-8.72,-19.68
12 BLUE - 12 GREEN,12 BLUE - 12 GREEN,-7.34,-7.0,-8.65
12 BLUE - 11 GREEN,12 BLUE - 11 GREEN,-5.74,-7.12,-10.53
12 BLUE - 10 GREEN,12 BLUE - 10 GREEN,-5.05,-6.36,-11.41
12 BLUE - 9 GREEN,12 BLUE - 9 GREEN,-3.74,-6.84,-12.93
12 BLUE - 8 GREEN,12 BLUE - 8 GREEN,-2.85,-6.84,-13.32
12 BLUE - 7 GREEN,12 BLUE - 7 GREEN,-1.05,-6.84,-14.52
12 BLUE - 6 GREEN,12 BLUE - 6 GREEN,-1.28,-6.32,-15.89
12 BLUE - 5 GREEN,12 BLUE - 5 GREEN,0.94,-6.28,-16.15
12 BLUE - 4 GREEN,12 BLUE - 4 GREEN,1.52,-7.2,-16.52
12 BLUE - 3 GREEN,12 BLUE - 3 GREEN,1.61,-6.4,-16.78
12 BLUE - 2 GREEN,12 BLUE - 2 GREEN,2.66,-6.28,-17.62
12 BLUE - 1 GREEN,12 BLUE - 1 GREEN,4.24,-6.2,-18.36
12 BLUE - Jester,12 BLUE - Jester,5.39,-8.56,-19.64
11 BLUE - 10 BLUE,11 BLUE - 10 BLUE,4.96,-8.2,-16.56
11 BLUE - 9 BLUE,11 BLUE - 9 BLUE,4.84,-8.32,-17.56
11 BLUE - 8 BLUE,11 BLUE - 8 BLUE,5.27,-8.84,-17.84
11 BLUE - 7 BLUE,11 BLUE - 7 BLUE,5.6,-9.08,-18.52
11 BLUE - 6 BLUE,11 BLUE - 6 BLUE,5.18,-9.04,-19.07
11 BLUE - 5 BLUE,11 BLUE - 5 BLUE,4.95,-8.56,-18.95
11 BLUE - 4 BLUE,11 BLUE - 4 BLUE,5.52,-9.12,-19.36
11 BLUE - 3 BLUE,11 BLUE - 3 BLUE,6.92,-9.0,-19.57
11 BLUE - 2 BLUE,11 BLUE - 2 BLUE,5.84,-8.88,-19.56
11 BLUE - 1 BLUE,11 BLUE - 1 BLUE,6.54,-9.4,-19.83
11 BLUE - 11 GREEN,11 BLUE - 11 GREEN,-5.41,-6.96,-12.19
11 BLUE - 10 GREEN,11 BLUE - 10 GREEN,-5.29,-7.08,-11.31
